City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,esperance,-33.87,121.9,66.09,81,0,5.95,AU,1579969404
1,butaritari,3.07,172.79,84.49,74,0,10.09,KI,1579969404
2,bluff,-46.6,168.33,53.01,91,61,2.8,NZ,1579969388
3,talcahuano,-36.72,-73.12,61.23,56,0,12.84,CL,1579969405
4,castro,-24.79,-50.01,76.28,49,69,6.53,BR,1579969405
5,mount gambier,-37.83,140.77,59.07,98,45,4.99,AU,1579969403
6,tasiilaq,65.61,-37.64,23.0,62,100,9.17,GL,1579969405
7,rikitea,-23.12,-134.97,78.12,79,0,13.56,PF,1579969340
8,hilo,19.73,-155.09,68.0,94,14,1.99,US,1579969404
9,margate,51.38,1.39,43.0,92,64,1.01,GB,1579969405
10,dikson,73.51,80.55,-7.2,96,100,9.48,RU,1579969405
11,olinda,-8.01,-34.86,88.95,56,59,9.95,BR,1579969406
12,mataura,-46.19,168.86,53.01,91,79,1.12,NZ,1579969406
13,busselton,-33.65,115.33,68.0,52,42,12.28,AU,1579969406
14,lagoa,39.05,-27.98,58.95,80,100,13.47,PT,1579969406
15,ribeira grande,38.52,-28.7,56.66,90,100,9.26,PT,1579969406
16,grants pass,42.44,-123.33,46.0,87,90,4.7,US,1579969406
17,saskylakh,71.92,114.08,-18.35,91,100,20.24,RU,1579969407
18,lompoc,34.64,-120.46,57.99,66,1,12.75,US,1579969407
19,carnarvon,-24.87,113.63,77.43,74,0,22.84,AU,1579969407
20,new norfolk,-42.78,147.06,66.0,72,100,1.01,AU,1579969407
21,lorengau,-2.02,147.27,83.86,69,29,7.0,PG,1579969407
22,kwinana,-32.25,115.77,72.0,85,83,13.98,AU,1579969407
23,airai,-8.93,125.41,69.28,96,100,0.67,TL,1579969407
24,puerto ayora,-0.74,-90.35,77.0,52,57,8.01,EC,1579969407
25,codrington,-38.27,141.97,62.62,91,27,13.4,AU,1579969343
26,korla,41.76,86.15,14.77,66,1,2.33,CN,1579969408
27,mangrol,21.12,70.12,75.02,65,0,14.23,IN,1579969408
28,vaini,-21.2,-175.2,78.26,86,91,21.72,TO,1579969408
29,yellowknife,62.46,-114.35,3.0,84,100,11.99,CA,1579969344
30,mahebourg,-20.41,57.7,78.01,88,75,18.34,MU,1579969395
31,bose,45.46,8.01,48.99,48,100,2.24,IT,1579969408
32,cockburn town,21.46,-71.14,76.03,62,92,5.97,TC,1579969408
33,porto novo,6.5,2.6,89.91,16,78,9.66,BJ,1579969408
34,bredasdorp,-34.53,20.04,78.8,54,4,14.99,ZA,1579969409
35,albany,42.6,-73.97,41.0,80,75,3.36,US,1579969409
36,medicine hat,50.05,-110.67,39.99,79,99,1.01,CA,1579969409
37,tual,-5.67,132.75,83.91,67,82,2.84,ID,1579969409
38,jamestown,42.1,-79.24,39.0,92,100,1.01,US,1579969409
39,nome,64.5,-165.41,-9.02,72,0,6.82,US,1579969409
40,portland,45.52,-122.68,51.01,93,90,3.67,US,1579969143
41,harper,4.38,-7.72,88.39,60,22,7.31,LR,1579969409
42,tahta,26.77,31.5,60.26,26,0,11.39,EG,1579969409
43,punta arenas,-53.15,-70.92,59.0,54,100,41.0,CL,1579969410
44,port alfred,-33.59,26.89,70.0,87,3,3.0,ZA,1579969410
